FrameTimesStart	FrameTimesEnd	Left-Cerebral-White-Matter	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	11.120909970715536	8.330568769946428	0.8816887099222329	15.941954432276065	18.10725306019439	27.180734974816524	10.928106141972478	17.253028587103756	30.91352488018361	30.7996093152903	2.4352168009102653	7.333188851588157	3.9779401334479876	3.6488734868361132	0.47783319958155407	4.587926460323873	10.580292531043362	1.2254493236541748	12.597099033433947	11.210796152248955	12.369136714499287	0.5403302497804949	26.1813784995943	17.521082959632736	1.7651061593481696	4.306289729787175	9.266305643591238	31.36987006910676	5.798775674877244	6.333228592970485	0.7345187944372576	1.726529449682499	0.5971121696638875	10.711096519850091	1.3512268140363377	8.497655281666614	6.051496969262553	4.663517153152013	22.047775561743958	11.821652377716584	3.478577577856516	4.1142002572884335	11.543406403689042	10.277421088323672	3.7891299903335907	32.13025453477469	14.694907332536163	5.090856143251253	15.665351348335127	3.4253420195418385	7.30520946860293	10.823977013716151	6.376566540638281	12.055285596215038	6.660828387970187	26.014426881005896	16.011856859383222	2.7859198004912655	5.887801139047279	5.264279461804161	13.220326316764641	18.309098765612976	6.081093682514965	6.664073930710153	8.827355872479856	9.87364852924616	3.262050515773064	8.996617298346338	7.08701982397159	11.039843319151876	6.778542211397656	1.839911799350165	8.549501838130569	12.529986530105385	21.811480970915696	3.3333964304228103	5.231894395044616	7.444472286555255	2.7969903566594057	29.592096335629822	18.17360916899982	4.56033768961226	27.798812314777617	47.50791859861768	6.155326809880219	10.450277803660276	9.895286294313015	15.731744602909687	12.973219871021874	13.709379966388402	5.75317520171229	8.474517652074757	9.200442286142746	18.415873395503315	3.1871637676005706	23.719621122934278	5.459155365295999	21.375634700815233	16.37552638087905	6.78474427929777	8.491319707798304	7.789072594618709	13.249642660435304	22.098208615290247	11.656765956873283	16.243713779319453	6.815624173357387	8.258313006763908	8.945731646294517
30	60	878.442248662514	638.1867500278706	1038.330438011571	708.9390276139565	1066.4870869818499	1224.7076444471154	740.8045128037312	1637.6176033516706	1243.9575449625652	790.658561576644	713.4066038187412	1276.3488617004837	872.8092701035158	1546.6408447146764	1611.1339443018326	1272.5460536250362	1017.1907422321449	982.8029937744141	655.8012944741886	873.0143309437963	553.7809699745426	652.5388134227079	683.0785379989387	1011.3763751743674	1142.8133240742316	921.9316816887633	1213.2579880825049	780.7640963388288	994.9481458565742	1072.4229656169239	1095.1173824380512	992.857983362071	864.0478744506836	661.6543185993777	1728.2836508829087	267.5760306263296	217.8496112288357	980.1454826174711	812.5435377362603	1371.159614262564	95.8413272479096	1332.999345352081	1600.25939445396	1352.0103375994106	1733.9747700714258	987.7130821539097	1027.0003044319383	1134.54075116023	958.5028334963206	1132.5498281851417	1151.8719070722839	1182.6781759309583	1352.8952078455122	1219.2454668297614	1067.778404894872	1038.2139368257724	1271.8360288285508	1299.9137711604485	910.8936842365521	1291.0341208792247	1519.744902389462	1303.77450549685	1425.8408847864084	1378.516630170845	1340.1581714454182	1543.010660761675	1205.1348346574403	1303.1442605693783	1291.9260350500986	1424.4674106401378	1307.240644074684	1011.8550701161372	1465.310465572132	2281.955082501644	1457.729914589343	1669.411330327897	1639.0897897573618	1186.3983857184949	1751.7303495810065	1282.358543412126	972.9306825234308	1180.0954518301157	942.7773291067042	1245.747239511537	1107.4651191405783	1231.9821300482006	1422.2055499552578	1281.8741395691627	1111.923964840053	846.1608142566756	1461.939604874453	1249.8503163439452	1197.1933888815283	1112.3884029250162	1838.4564709467695	1256.2935758299761	1268.5357367089698	1111.3657118702974	1339.7469218409428	1733.979794830396	1141.3237342436544	1313.6471715656494	1270.4195028209235	1409.204801980387	1347.9127158737265	1226.3193971099167	943.3759646379067	2087.987147804543	1618.3412227656356
60	90	6572.888252196896	4715.792545890209	8335.741850200453	6857.870149538084	9030.443734674827	9839.260617094835	8187.87710633991	11140.0206421279	8017.350969950358	7762.097856883159	6024.116465692935	8126.048901576435	9223.040056170024	8355.733822414915	10751.473152017674	10515.01709056713	7989.186911033558	7848.89794921875	6295.444430849312	6492.119430721703	4517.64505603353	6292.844981474035	6797.54933850414	9023.87449950223	9974.17184943032	7769.819068282593	10457.826047295166	8231.605705105274	8015.208610351366	6959.598318670054	9412.208833397239	8537.597193279853	6373.924133300781	7262.1127920492	6849.755515176742	1889.8475611442789	1497.1447337029294	7731.9798835751335	7378.583520709343	9058.118896681282	788.6952823997589	10035.727397959983	9496.985648292162	10164.128629432298	12453.022004648108	7361.534845311243	8365.002903189343	9052.934911575492	8031.755671478736	10337.556550157165	9591.111258296336	8821.509214377882	11481.781773610022	10299.402060323915	8576.17042920667	8683.613247708157	8256.639433068684	9543.289947233838	8766.60300105588	9961.51866346813	12310.814866464349	9298.455275142236	9842.52201016991	9240.616402407843	9620.372325094835	10570.678062815303	9482.614429693509	9505.561102023146	9073.723045177394	9962.908743766402	8811.632670068666	9779.313198605965	8451.165982694403	13212.165141818492	10542.731596031255	9526.518863313935	10787.84944925038	9542.534443749606	12500.063243310777	7450.915983881558	7975.827747039851	9048.670488134008	8108.11942000753	10411.303229572415	9238.666650147861	9135.66953634177	11337.198462098419	9869.46860867987	8628.564087483492	8411.069055281761	10074.943531285773	9352.70174561366	9164.347518300623	9673.838393763339	12349.778953431342	9149.508688230795	10624.365625422754	9005.781392729137	9994.600860994984	9881.691194569652	9297.761715392922	9804.378225120261	9282.986267434675	9635.311368323153	8816.71870868669	9807.867422489928	7944.0794333914555	12978.647109194155	9622.862773200279
90	120	14796.89146888228	10561.085114932033	15687.113763106498	15634.620102174704	20233.354311289768	21942.133843018204	18197.512174394506	23806.058952998923	17550.80338626438	17498.207407021495	13044.567552332597	16538.85950019115	17264.032190149275	17787.486514974593	21598.824605132693	19999.632042824072	18150.839614655422	21810.93505859375	14952.526742260685	14764.519146604162	9525.604393747959	13896.022730210248	15335.734730171323	20204.196679671517	21718.913722987792	17574.10553725334	24171.6552904664	18167.268070797985	17544.598315276882	16590.241207227155	21895.263091928682	18725.789251411992	21263.239990234375	15272.875752192209	15392.407074474897	3882.9512291436304	3169.945702539781	20236.557834244843	16934.482570843556	18429.86829692536	1725.0662003718817	21906.97324023046	20090.23626884281	22315.013402065906	25827.165199758925	16310.112783538425	19045.421323422044	20416.525521807434	18398.83492058507	21556.7162491668	21573.95814136164	20143.1035300848	25253.92275905953	21980.46018443208	18874.187792715682	17344.519521169117	20861.548472178805	21139.510885032087	20191.542893433892	21110.874050016864	27568.926547151073	19744.374034648823	22541.272540966642	21114.171376105438	21141.172166285876	21844.484096044704	21262.10490115792	21039.51082741461	20876.544810703275	20358.91257112297	20267.235845592746	21732.481984317616	18370.02201371031	26231.736109673373	21762.253115972246	21094.6515425359	23025.77576051507	21917.957836471363	25989.095927207123	15864.382856373051	18458.49086435797	20036.240111957923	17410.015875286485	23054.49241711668	21341.26515123787	20385.799120728705	24179.974278737336	22289.212639843303	19509.524627419956	17267.292034772407	21134.961248032465	20620.94948172948	22208.727913808434	22220.923500617013	28394.817012583808	19585.498227478973	23031.93062829098	19885.519868853193	22710.78624499235	22896.84560633436	21016.980874146146	21539.150955193538	20395.575607487433	20705.47885491345	19615.845579470708	22611.907438858696	16795.537725885137	28296.69810293692	20866.783704512014
120	150	22980.517997505543	14477.680864279593	24081.590794613487	24091.65546534887	31179.786702767313	33289.69125486435	28358.671058954405	39562.749940184876	31077.43179151747	25907.17098711514	20770.276066170507	24452.029208847736	25967.338498467776	24697.29874872581	29122.850640006123	31355.35548900463	27557.041788153227	29630.7197265625	20700.635861113144	22753.08998045434	14383.326917586433	21946.119808421416	23123.293107683017	30680.14405287782	33718.39480315199	29524.241357781786	38839.42406437856	29209.371908217498	26000.717379894446	22824.06519717262	31397.158399635737	26706.115508433155	35064.04638671875	21937.91676781721	17012.326756211576	5310.890653629142	4579.932207033784	30939.31085505732	24905.02891075772	26645.71053445056	2564.111227905466	34161.527957477454	29418.464779368267	35333.809999757155	40687.490531589676	24541.464185199	28601.7207916123	31012.337499084773	28930.918412373438	33589.761461437425	34298.20863915837	30703.06811434707	38052.597522456774	32715.994713898403	29938.064278718753	26409.688099904102	30432.237228064434	31043.904755822095	31282.603530542685	32312.981209076945	45323.72728256032	31366.551924702504	33867.40617549011	32893.00367151663	33389.77504476943	30194.84377890275	32430.05507825989	31845.273463081525	31512.090989215078	30491.30520658742	31997.671422170883	34648.23383292071	25516.808824002124	41516.37856220772	31189.68094942893	32064.06138430716	34135.89897344523	32906.24465317275	40029.95583519018	23587.259778528838	28466.742520330135	30242.232753276025	27387.24505930996	33763.99742797703	32731.257326132847	29851.5438526662	38173.328215598034	32292.910877943992	29596.436065718448	25248.715385599597	33210.84026806156	31769.087756732624	33882.410229823	33611.73795374201	45037.720791218	31233.266631993938	37376.25087867861	31339.710182302377	34953.214415895825	30778.74299015411	32443.952607257495	33027.653414139	30723.379823663774	30079.0849338479	30314.44049564338	32563.057140619145	24724.94488898576	38766.14872142651	29785.835282797507
150	180	25417.664541050457	16370.87882267832	25489.801732113487	26975.662653688523	34625.0772157671	37078.01618337602	32123.08390945018	41366.542394596436	32233.52419535319	29701.303403891176	22234.81546707698	25926.067790899877	28687.8765492345	25628.445839292235	30171.623873709006	39867.80858506945	29707.20828761966	34309.4169921875	24564.458154182525	25049.641216351374	15424.224232602824	25623.031005859375	26021.24630666616	34094.37599774912	37444.23808067745	30881.681514895576	41633.04081880679	33827.49401366389	29597.616537444163	25300.43027620789	33660.674707630365	29636.7586903395	27787.166748046875	24264.252471751413	15166.207367443647	5011.89443200201	4779.378638754181	33941.31258995169	28022.080960338008	27735.461773964686	2727.874706468882	36813.03688705536	31366.626971610844	37918.71422306409	42970.55482372339	26353.27161692345	31843.35218425938	34480.60262825692	32171.017060212576	35065.93799992158	38935.15591085001	32995.31247160621	42655.379836721055	36095.94525613584	33131.585545947084	29708.066155877557	33715.33853047339	34549.99422538992	34524.11491164365	36603.810671981315	49128.82557543018	34406.70395330684	38881.42026855296	35549.350527771036	36970.15455103863	33815.368687377384	36575.39403852342	35493.34543922901	35050.46791112538	32209.99876561673	34701.251796656536	35849.32538693599	25876.455447786226	42341.11656487481	33049.505476743616	34711.824930744006	36169.27152654774	36402.45386184887	43197.896137076365	24594.14777579116	31229.602003784403	33916.75470612219	30577.33385816712	35087.74812907856	37393.183454441154	33694.02744495602	41534.88781194618	34622.62559890384	32841.3469207855	29568.52111633349	37062.270892624336	33113.8794885617	36763.5400877583	36749.8806738244	48609.216670687725	33436.21815327919	39978.29692312895	34354.86774208361	38418.278368958934	31679.446846198884	36470.73317409206	36007.88690498282	33854.62183087781	32285.6943359375	33169.49991981427	37721.5188116391	27096.896224980683	41091.96459237558	32113.524171715682
180	240	25817.923475034975	16457.030790678433	25994.18849583676	27706.571781628376	35178.29627095553	37337.789852421025	32150.552254094197	42007.290886324045	33949.95107269287	30021.436642043842	23658.65382665477	27105.01969153044	29898.44541514515	26276.944615498724	29585.191925308773	36711.880028935186	30183.982450487158	25087.32080078125	24494.3466796875	25594.90400868758	15577.946884188277	25453.934484145222	26530.351613638697	34576.5606458458	38653.10801841229	30726.857607589835	42586.55369014432	34011.24542540756	28808.241642927896	27045.728831251585	35722.81086081288	30062.919410610106	35389.038330078125	24072.797941678436	14235.05407914959	4908.228208810924	4832.177959969637	34380.69289944809	29035.061745121795	27141.96198341729	2786.741181244145	37011.84757014028	32887.74461998205	37986.13390727138	42523.23248910213	25914.2020803296	32788.27778319779	34481.333354474526	32691.940244724807	35938.41197214163	38984.146881365814	33635.39344886803	42517.3833179055	36241.486481164386	33423.822039199156	30503.149366040845	34431.3314200971	35452.14130390421	34592.86033628097	36451.0603731926	48491.06766300765	34604.17900488916	39255.75949449179	36073.040520383074	38457.36399300716	34874.15691301149	36401.33497994512	35389.55242828958	35359.53152423176	32838.91221295817	34662.40960961646	35915.760556712354	25065.890977016716	42790.36032948899	34034.44325456363	36172.08672016339	36627.05396792763	36709.313003529795	44206.29037661843	25900.748041197312	32311.48531363314	34137.762042468836	31285.267325709243	36540.43112290065	37508.43583249549	33694.10093675984	42205.550116362785	34986.817328383586	33369.52177259114	29304.717322153094	35644.6649300035	33893.934726483865	35808.85598958333	36805.88414824077	48851.12797452763	33746.207414289194	40495.17702739968	34703.250686719766	37933.963019098475	32520.68794696817	36264.38823105589	35855.407411895874	34105.46387278594	32781.89594715656	33600.32136644381	35907.93003815475	25682.46675576345	39459.153696469904	31867.11166140679
240	300	25652.86757424688	16368.408277339233	25202.90673828125	28134.22949716962	34641.57531585029	37627.90473102189	31142.29291998537	41703.86891425878	32176.890024820965	28184.962017150254	22522.03922663348	26409.853561909957	28642.89181392518	26888.662271501493	28410.926405118717	37535.0467505787	29669.78996407892	29816.0859375	23497.40246953674	25340.570098672648	15707.257550757311	26718.293571920956	26776.464935202417	34171.84110356997	37948.82921978076	31239.431064045224	41474.581648010164	33635.34977865648	29615.662658679084	26701.142543495123	35185.68420485046	30289.58153550149	29070.244140625	23730.8205589395	15537.68981333248	4908.540296316132	4864.269998438559	33821.624663267794	28593.49928402965	26204.539892501427	2892.3113804987092	35450.41592403557	33104.91554646703	35996.39520907616	41352.467151291705	25653.22034582048	31643.021885716676	34041.37349324852	31830.722765150902	33840.30810771513	37925.02282219332	32702.179614149365	40580.08395076665	35220.317986051654	33092.710596349854	29862.957975920257	34421.94659708112	34799.9186162598	34550.03872994481	35079.40781680769	46081.75151119957	34331.53194929984	37730.782949239445	35077.54792316789	37231.7924272602	34048.8351798977	35339.08600402667	34196.651182223686	34519.79623934778	32248.414375592693	34293.06549666329	34134.42171514297	25468.570982641995	42694.58191403205	32861.294793306384	34625.98037687981	35540.11524096449	35467.72323618646	41306.584204445426	24441.34781935452	32043.224337824486	33774.57553219064	30839.712325496315	35680.71015419491	37091.344808261725	32988.09577764485	40878.15616421781	35017.791779859	32297.970972371502	28525.82096418397	35317.837834232305	32808.16756073865	35818.57112550813	35432.77443716318	47388.77024948573	32904.02633642528	37977.949522482726	33859.753126218275	36731.642491381965	31693.383810309228	35866.10511955598	34530.748097102005	33048.86387427885	31864.488224185934	32863.38556810552	34525.23875855041	26359.82342066384	40330.247379557295	32012.27565684042
300	360	24833.0129529593	16453.79210076615	26438.326300370067	26808.461847899907	32921.360372603	36109.25074227802	28797.410441726268	38576.818798138636	30872.607210795086	28134.1994404441	21565.617877621065	26130.21527709022	29791.43736237522	25894.737412613347	26615.163977653854	33216.80057291667	29130.71856885545	29872.53271484375	23679.70076020931	24387.681078250193	15069.418392255655	25043.87570369945	26300.383912691235	32393.15316159762	37055.02223459603	29934.504985507523	39225.929149745316	32273.63583002223	29065.02100881095	26206.332658050753	34599.51957678297	30078.211473009247	28175.05517578125	23538.292245983404	14160.395892033812	4752.551704314829	4785.448612069198	32772.12989415423	28075.873640528265	25023.59513800326	2912.784497980048	34937.02056691508	31743.60853485028	34628.704379585506	39436.267714938105	26113.807705203864	30727.00197052359	32751.240170710575	30741.308260209335	32856.95867478304	35882.75650094274	31326.971134684387	39396.50805992144	33458.54395351741	31372.881047910894	27905.181412980364	32088.623506613396	32123.37232244889	32057.26228926043	33778.18985548158	43594.22234309072	32493.3231738957	35599.12361259824	33229.00652753121	34670.40439091802	31894.548507567266	33766.99169992387	32969.747973478785	32939.93370823114	30757.419144484385	32964.24925713412	31566.442331576272	25417.13062982167	38498.83519765686	31919.01729806901	32727.894095749944	34039.15287354504	34315.390530229495	39600.21617964624	24526.962391504527	31099.881783429042	31660.67042548506	29681.114134314605	33037.47686523043	35329.887796246054	30910.46583566963	39065.86313587176	33124.21249048887	30702.868754025098	28165.010924859413	33994.799987032166	31435.63765577821	33011.9010003811	34149.49918868186	43607.29313382517	31121.54406560489	36583.616868808276	32029.30969408137	34534.08680821255	31209.73153895548	33376.523293203514	32566.386247913284	32272.637558596994	30661.53260433929	31036.66895206389	33240.94033159201	25743.690964137677	36918.10156792535	29784.567288363134
360	480	23726.312118907837	15703.220693606218	27214.66109426398	25845.81409388073	31065.25107067828	34957.31668234122	26303.136392890523	36759.671314098894	30902.201549106176	26508.919532801858	22100.96297554348	25257.27720357168	29569.211049702426	25035.82894656767	28006.514350644164	32788.17806712963	28871.13748575312	27245.52294921875	25045.866814713845	23395.286097108674	15128.764134281217	26833.751177619484	25048.33184423914	30394.428641144506	35076.7094350655	26918.407377245854	36807.43536798194	31761.103371096942	29231.046054001363	25537.212079296478	31611.382345187885	27677.969607474242	26543.537109375	23731.733001191737	13199.733230340677	4545.886592676692	4705.125483267496	29823.61900022214	27025.632109937644	23230.411794678377	2942.7733577614135	32295.076045841684	30286.42728816498	31512.4337074948	37453.80665831635	23619.7081969429	28555.651113466978	30137.916957344674	28416.231572025874	30497.441956000366	33846.53962495213	29650.436692354288	36346.94968926684	31591.7121814355	29304.201673442338	26796.25005205401	31089.0542363092	30301.675771635462	30439.43320843715	31093.37025466697	40118.01640171743	30410.40838629446	33592.84811641756	31167.064510326614	32108.20447426983	30972.83531915639	31019.76655404345	30226.146454195048	30608.525537219688	28932.278983230968	30177.51657138028	29798.611729817025	23226.002979301767	36270.30187731391	30087.311465022627	30833.418327397107	31714.52968082265	30725.237059891024	37668.33488929999	22637.23908541722	29357.04607694255	29336.006870934132	27539.615729431214	30723.54353627074	33036.850632716145	29636.78280157378	36190.02377400697	31054.709183142713	28520.34439653156	25928.69040540832	31187.77468559209	29529.032792929433	31077.701426998647	30981.53108121602	41867.693344296014	29833.397907706298	34587.235194493005	29524.90326562393	32178.552779856484	29046.43127549607	30746.844699069185	29839.667142253093	29590.559769097654	28241.064191727946	29134.41919822993	30757.06899919181	23123.130098485006	35303.284497974535	29021.755334558686
480	600	22318.851689457635	15140.2476838706	27668.18040707237	24668.982051935775	28780.931519136335	32642.874818361044	23857.78338802422	32725.351073591944	28784.48116132948	26707.084696013055	20685.18514509653	24533.898126203265	28225.202626301318	24039.2966805433	25385.935206658593	28685.463206018518	27373.217739892214	25947.62548828125	24914.71061045448	22126.107066365006	14623.807360109358	25513.985121783087	23396.27237702524	28183.57885892022	33188.604464558965	24531.66837857033	32410.025836961384	28806.56564448334	28051.103108280335	24624.82453783957	28731.58873178681	26858.420072577894	26036.1845703125	24508.619811896773	13208.029496990266	4359.335008300988	4615.2603264917825	27952.50027572149	26248.668962504344	21270.610442603866	2968.029477833905	30004.228006012025	27743.28266894786	27953.393612541997	33926.83049976883	22750.33809285307	26848.444038346915	27485.571547413216	26569.870401342876	27579.334289882634	31041.893698624717	27025.744448881705	33484.91289773076	28527.67461972032	26528.821205409364	25106.195991768134	27909.439931484936	26978.260149421716	27491.53996047178	28347.42275922212	38162.60940281349	27987.457150325507	30815.209499735076	28477.78530862683	29307.735118558547	28333.953768742995	28152.093345934773	27350.28645037166	27304.605648683948	26809.59883536135	27823.45324151295	26869.267086257216	21723.782194767442	32792.45423628702	28180.29627603794	28939.563981406885	29189.40140101355	27808.447351705476	33718.32973856322	22462.25173014667	27331.749904109834	26508.610741148983	25294.036458688213	27563.090696611947	30326.000078057772	27133.023797133807	33476.21758592065	28691.18919862802	26251.65316937128	25254.05635621177	28454.063537426864	26384.52797498812	27820.31203659595	28400.528786238257	38273.71850159361	27166.235413197188	30831.696958640317	27050.106798612716	29183.204565520533	27277.667986062148	28123.358375343116	27287.754746285947	26726.893552091122	26126.823801288705	26459.38302511683	27918.925899110993	22506.26972930327	31279.019950810187	26851.92824396227
600	900	20794.307409435034	14250.258317721455	27817.272435238487	23428.542762091547	25647.32014817166	30270.877505545646	21011.97475998659	28796.624748203398	26726.630180358887	25360.184145768304	18601.035341296236	23436.120256185444	27817.942998492243	22799.163086888388	23587.69267811036	27092.17769675926	26188.122712211432	25177.728515625	24337.986973067917	20621.834194290088	13613.644125170387	24979.176326976103	22406.090462341614	25242.316557882696	30195.964354007625	21196.865507188653	28791.31065227492	27316.16072637725	28317.557110076912	22920.400966965077	25393.774882572852	25806.458020225607	25127.677978515625	23405.23484029249	13370.376528880635	4214.856277294564	4523.973985735852	25496.299008028385	24835.275971117044	18999.20119571147	3047.394668754851	26169.49639669965	24368.023505068944	24660.706556271714	30819.946861672517	21681.583100020118	24391.022879464286	24160.93882972745	23523.568299099617	23960.999340381248	27840.7616182765	24069.831245556896	30147.76534076942	25878.95564123145	23616.727468273668	23328.5185986768	25235.124017332077	23816.63402805248	23764.98001539796	24936.179384128638	34218.921322850736	24557.79658483664	27181.70371418006	25079.647967619752	25757.982668861663	25243.90671594731	24561.834511008725	23703.969612405497	24518.584710566192	23969.664563393173	24514.604855236492	23038.898970356768	20956.47646676543	29739.509526622176	25161.36925130581	25444.85759854845	25871.913297679796	23946.98477228189	30820.89802142936	21196.918633039608	24417.815650151908	23440.97089325914	22715.45190492598	24399.533565532045	27293.98056174706	24101.07768732176	30600.25337951726	25557.70540841378	23184.04232792973	22777.641896766476	24961.041065807047	23387.50752309152	23913.057953294378	25045.327072987708	34620.83853425945	24277.229856372433	27688.274307073134	24003.25566230872	25632.793166735122	24985.893248577257	24494.44440863561	23980.244950742508	23785.28724389981	23575.25487922401	23691.04064045549	23855.371448797086	20965.008921206772	27695.50013563368	24445.945870117335
900	1200	19340.152508047995	13204.994234844808	26880.76449424342	21854.335011755153	22491.917989203794	27192.886107371134	17504.33840697131	25257.53175717495	24787.39127010769	23619.784667414515	17442.340187226233	22133.35403899554	27236.181349510363	21535.135612866663	21576.61992087681	23660.757335069444	24866.679437291623	21669.18212890625	23060.7755713005	19042.94219077847	13100.716723210364	23537.403507008272	21064.155123231572	22162.533795301617	27682.80312409676	18297.397206119473	24837.75685529667	24583.57840207865	28043.752638867856	21599.39204680376	23238.835484566716	24173.755159198114	24911.4658203125	22955.196726768478	12802.395163614241	4100.304044729122	4432.3991842072	21850.246396065904	23517.23513703462	16710.7858334979	3106.973624102225	22630.52228676102	22746.153255293324	21046.67942286924	27959.910610917686	19311.351862174757	21541.982958456014	20888.193258539544	20426.77918915597	21317.656093978723	24698.7802895598	21008.470178102707	27016.824202906064	22250.271973994008	20405.61867160506	21039.078420461476	21446.44355871708	20742.665248620215	20686.289142546106	21857.594094386073	30493.919416081553	21628.64556668474	23061.749557770003	21935.519437728806	22225.443702013312	22401.289401888313	20988.39008904641	20527.031071688278	21442.41420067816	20938.53823803866	21129.38120450629	18702.4901134575	18361.130892218247	26193.29958471356	22478.869849149884	22197.169711633593	21990.700940364233	20614.844498326267	27196.37147314224	19399.21153933503	21502.184562845156	20641.449708702836	19897.587453446326	21615.789216631678	24268.917048303196	20958.21262741384	27086.60745272649	21890.17843173388	20198.58932341074	20148.633496170827	21715.85950020669	19924.44140668684	20191.70897881733	21525.873382393707	30717.528943709367	21472.384273870597	23401.56624365218	21022.145773490516	22133.53150518864	22350.266372570004	20934.6161633596	20493.190820142077	20949.481807993987	20530.33904865264	20494.050103306643	20200.95432849981	19075.71163182843	24318.026864510994	21970.238834620774
